movie,genres,rating,rating-count,num-reviews,num-critics,gross-USA,gross-world
Avengers: Infinity War, Action Adventure Sci-Fi,8.4,802778,4280,611.0,678815482.0,2048359754.0
Sunset Boulevard, Drama Film-Noir,8.4,197005,2290,84.0,299645.0,299645.0
Witness for the Prosecution, Crime Drama Mystery,8.4,105480,2798,260.0,,
Spider-Man: Een nieuw universum, Animation Action Adventure,8.4,340530,1836,397.0,190241310.0,375540831.0
Mononoke-hime, Animation Adventure Fantasy,8.4,333146,717,206.0,4845631.0,169785629.0
Oldeuboi, Action Drama Mystery,8.4,503444,1020,336.0,707481.0,15002116.0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, Comedy,8.4,442736,951,226.0,9440272.0,9443876.0
The Dark Knight Rises, Action Adventure,8.4,1487102,3026,548.0,448139099.0,1081140725.0
Once Upon a Time in America, Crime Drama,8.4,303923,625,19.0,5321508.0,5472914.0
Aliens, Action Adventure Sci-Fi,8.3,641771,1312,310.0,85160248.0,131387762.0
Avengers: Endgame, Action Adventure Drama,8.4,765699,8893,557.0,858373000.0,2797800564.0
Kimi no na wa., Animation Drama Fantasy,8.4,181251,674,231.0,5017246.0,358922706.0
Coco, Animation Adventure Family,8.4,356338,1115,408.0,209726015.0,807083888.0
American Beauty, Drama,8.3,1052384,2911,198.0,130096601.0,356296601.0
Braveheart, Biography Drama History,8.3,944415,1280,148.0,75609945.0,213216216.0
3 Idiots, Comedy Drama,8.4,334182,670,57.0,6532874.0,60262836.0
Das Boot, Adventure Drama Thriller,8.3,227472,505,111.0,11487676.0,11487676.0
Toy Story, Animation Adventure Comedy,8.3,868004,623,160.0,222498679.0,404265656.0
Tengoku to jigoku, Crime Drama Mystery,8.4,31864,4733,166.0,46808.0,46808.0
Amadeus, Biography Drama History,8.3,362467,649,115.0,51973029.0,52066791.0
Taare Zameen Par, Drama Family,8.4,163042,3108,71.0,1223869.0,21897373.0
